word,freq
close,7
sure,7
absolutely,7
caught,7
chuck,7
wanted,7
plane,7
star,7
forget,7
tpp,7
stories,7
vice,7
mail,7
energy,7
past,7
set,7
defense,7
joke,7
crazy,7
protect,7
class,7
across,7
needs,7
podesta,7
nuclear,7
race,7
part,7
actually,7
anyone,7
pensacola,7
syria,7
server,7
reporter,6
television,6
veterans,6
anything,6
jose,6
cover,6
wins,6
thousands,6
failure,6
enthusiasm,6
outside,6
gone,6
wild,6
chief,6
guy,6
standing,6
attacked,6
feel,6
network,6
pundits,6
calling,6
debt,6
except,6
opponents,6
vp,6
regarding,6
goofy,6
investigation,6
8pm,6
leading,6
joining,6
appreciate,6
2nd,6
home,6
post,6
based,6
cont,6
buy,6
dallas,6
safety,6
game,6
room,6
started,6
prior,6
amnesty,6
read,6
turnberry,6
eric,6
stand,6
went,6
action,6
landed,6
ads,6
facts,6
line,6
washingtonpost,6
fox,6
tune,6
rather,6
nbcnews,6
2a,6
charges,6
husband,6
interesting,6
heard,6
control,6
chicago,6
violence,6
announcement,6
sell,6
makeamericasafeagain,6
tim,6
pushing,6
complete,6
toledo,6
mi,6
point,6
refugees,6
departing,6
life,6
threat,6
boring,6
facebook,6
springs,6
denver,6
crimea,6
short,6
serious,6
15,6
hacked,6
wilmington,6
anti,6
gets,6
graham,6
tried,6
hit,6
loss,6
still,6
large,6
honored,6
popular,6
care,6
campaigning,6
truth,6
affordable,6
lincoln,6
navy,6
info,6
official,6
begins,6
bush,6
electoral,6
kennedy,6
inauguration,6
third,5
stupid,5
temperament,5
decision,5
notice,5
experience,5
mistakes,5
though,5
unfair,5
allow,5
leader,5
opening,5
visit,5
legal,5
ivankatrump,5
hispanic,5
missed,5
doors,5
able,5
held,5
number,5
continues,5
south,5
else,5
plus,5
rights,5
possible,5
finally,5
trouble,5
inaccurate,5
nations,5
vast,5
community,5
fair,5
list,5
supports,5
spirit,5
biggest,5
hours,5
word,5
decisions,5
expand,5
interests,5
executive,5
supported,5
arrived,5
especially,5
self,5
wait,5
west,5
donaldjtrumpjr,5
daughter,5
liked,5
question,5
negative,5
maybe,5
fit,5
destroy,5
reason,5
release,5
brought,5
minutes,5
david,5
islam,5
serve,5
classified,5
council,5
due,5
thinks,5
pass,5
embarrassed,5
tv,5
concerning,5
announce,5
weeks,5
gopconvention,5
stage,5
gov,5
michael,5
defeat,5
almost,5
super,5
pathetic,5
roanoke,5
given,5
scranton,5
illegally,5
poverty,5
corruption,5
created,5
commander,5
members,5
imagine,5
wonder,5
available,5
hurt,5
cut,5
daytona,5
400,5
geneva,5
green,5
loves,5
etc,5
billion,5
chairman,5
increases,5
army,5
registered,5
henderson,5
votetrump,5
woman,5
delivered,5
wealth,5
express,5
bigger,5
deplorables,5
hofstra,5
magazine,5
trumprally,5
djt,5
around,5
timkaine,5
aides,5
page,5
palm,5
2017,5
lives,5
12pm,5
augustine,5
springfield,5
planned,5
cabinet,5
schumer,5
carrier,5
ceo,5
mobile,5
10pme,4
rate,4
represent,4
38,4
pres,4
lyin,4
credibility,4
performance,4
blue,4
legacy,4
golf,4
june,4
trumpturnberry,4
club,4
trumpscotland,4
atlantic,4
dangerous,4
group,4
thugs,4
flag,4
greatly,4
champion,4
peaceful,4
protection,4
ineffective,4
referred,4
spend,4
blow,4
staff,4
heroes,4
nato,4
giving,4
violent,4
nomination,4
greatest,4
shame,4
historic,4
unemployment,4
rich,4
leave,4
expected,4
guns,4
richmond,4
pittsburgh,4
13,4
nasty,4
someone,4
nh,4
tuesday,4
greensboro,4
changed,4
horrific,4
praying,4
congrats,4
immediately,4
disgrace,4
la,4
ban,4
fan,4
protecting,4
admit,4
greta,4
unity,4
deficit,4
houston,4
additional,4
send,4
entire,4
turned,4
fortune,4
brilliant,4
along,4
course,4
vetting,4
ice,4
budget,4
george,4
overrated,4
pols,4
heritage,4
comes,4
check,4
online,4
upset,4
whole,4
bangor,4
10pm,4
probably,4
killing,4
constitution,4
todd,4
fool,4
slaughter,4
200,4
guilty,4
fools,4
director,4
information,4
incompetent,4
democrat,4
touch,4
whatever,4
reform,4
robert,4
sold,4
welcome,4
ginsburg,4
statements,4
mind,4
understand,4
helping,4
mistake,4
thinking,4
rules,4
committee,4
weakness,4
60minutes,4
scottwalker,4
early,4
talks,4
germany,4
owned,4
manufacturing,4
treated,4
waste,4
turning,4
sorry,4
exhausted,4
known,4
debbie,4
wasserman,4
higher,4
disastrous,4
written,4
likes,4
compared,4
try,4
wi,4
share,4
swing,4
potential,4
cedar,4
plants,4
neverhillary,4
driving,4
monday,4
growth,4
politicians,4
clintons,4
khan,4
hero,4
viciously,4
mark,4
something,4
accepted,4
jacksonville,4
cash,4
lesm,4
des,4
moines,4
bay,4
candidate,4
fayetteville,4
congressman,4
steven,4
promised,4
detroit,4
amendment,4
second,4
turns,4
seriously,4
disgusting,4
health,4
delivering,4
nc,4
franklin,4
teamtrump,4
morningmika,4
private,4
various,4
starting,4
friend,4
problem,4
visited,4
nights,4
forum,4
jail,4
men,4
mn,4
rest,4
