word,freq
release,45
impeach,45
usmca,45
everybody,44
speech,44
chance,44
25,44
brought,44
georgia,44
move,44
reserve,44
different,43
using,43
david,43
cities,43
try,43
20,43
helping,43
spent,43
mayor,43
truth,42
etc,42
sanctuary,42
maybe,42
powerful,42
dead,42
asking,42
district,42
union,42
kevin,42
playing,41
voted,41
air,41
hear,41
sign,41
choice,41
closely,41
elected,41
rating,41
probably,41
lose,41
absolutely,41
chief,40
kind,40
legal,40
involved,40
save,40
rep,40
small,40
kentucky,40
legislation,40
committed,40
written,40
leave,40
thoughts,40
emails,40
means,40
european,40
rates,40
kavanaugh,40
interview,39
europe,39
increase,39
replace,39
plan,39
says,39
approved,39
set,39
paul,39
results,39
pleased,39
event,39
raise,39
testify,39
putting,39
pressure,39
scott,39
ice,39
outstanding,39
strzok,39
least,38
fire,38
charge,38
met,38
killed,38
found,38
across,38
defense,38
crisis,38
wisconsin,38
birthday,38
victims,38
word,38
17,38
certain,37
vietnam,37
representatives,37
talks,37
insurance,37
sure,37
nobody,37
advantage,37
bigger,37
focus,37
someone,37
ms,37
rather,37
correct,37
forget,37
steve,37
acting,37
wife,37
shortly,37
staff,37
judges,37
young,37
arizona,37
mr,36
repeal,36
situation,36
moving,36
play,36
consumer,36
either,36
speak,36
easily,36
policies,36
mainstream,36
officials,36
infrastructure,36
summit,36
citizens,36
necessary,36
testimony,36
children,36
amazon,36
rest,36
oil,36
credibility,36
minnesota,36
lawyers,35
negative,35
within,35
human,35
likewise,35
15,35
sick,35
bringing,35
heard,35
michigan,35
russians,35
congressional,35
dem,35
visit,35
counsel,35
anywhere,35
passed,35
understand,35
anyway,35
documents,35
inflation,35
abc,34
sorry,34
bernie,34
remarks,34
african,34
honored,34
sanctions,34
fine,34
players,34
center,34
hearing,34
troops,34
turn,34
send,34
18,34
hours,34
points,34
barriers,34
loopholes,34
death,33
concerning,33
putin,33
fought,33
term,33
broken,33
gang,33
lead,33
500,33
sessions,33
hand,33
ambassador,33
turned,33
tuckercarlson,33
announce,33
celebrate,33
greatly,33
step,33
arrived,33
killing,33
conflicted,33
idea,33
issue,33
destroy,33
flag,33
harassment,33
fisa,33
due,33
interesting,32
fox,32
mess,32
makes,32
month,32
exciting,32
gets,32
positive,32
product,32
hundreds,32
led,32
mitch,32
question,32
lisa,32
nfl,32
anthem,32
importantly,32
spy,32
serve,31
negotiations,31
2018,31
msnbc,31
needs,31
course,31
jim,31
recent,31
gdp,31
mistake,31
school,31
exist,31
whatever,31
dirty,31
jerry,31
weeks,31
created,31
apologize,30
pouring,30
brian,30
known,30
unable,30
lying,30
host,30
outside,30
clean,30
subject,30
